FID,GSS_CD,City,07-Mar,08-Mar,09-Mar,10-Mar,11-Mar,13-Mar,14-Mar,15-Mar,Number of confirmed cases,Country
135.0,E09000032,Wandsworth,2,3,3,3,2,7,9,17,20.0,England
136.0,E06000007,Warrington,0,0,0,0,1,1,1,1,1.0,England
137.0,E10000031,Warwickshire,0,3,4,4,0,4,4,5,4.0,England
138.0,E06000037,West Berkshire,0,0,0,0,5,1,3,3,3.0,England
139.0,E10000032,West Sussex,3,3,3,3,0,4,6,7,5.0,England
140.0,E09000033,Westminster,2,3,3,5,6,13,24,35,37.0,England
141.0,E08000010,Wigan,3,3,3,3,9,3,3,3,3.0,England
142.0,E06000054,Wiltshire,3,3,3,4,2,4,5,5,7.0,England
143.0,E06000040,Windsor and Maidenhead,0,0,0,1,4,4,5,6,6.0,England
144.0,E08000015,Wirral,1,1,1,1,1,5,5,5,5.0,England
145.0,E06000041,Wokingham,2,3,3,3,10,4,6,5,6.0,England
146.0,E08000031,Wolverhampton,0,0,2,3,4,8,9,8,11.0,England
147.0,E10000034,Worcestershire,0,0,0,0,3,2,2,3,3.0,England
148.0,E06000014,York,3,3,3,3,0,4,4,4,4.0,England
,,Greater London,36,48,58,88,101,167,313,407,480.0,England
